epoch;accuracy;s;s_temp
0;0.501;1;1
1;0.4942;1;0
2;0.4768;1;2
3;0.4928;1;2
4;0.52;1;0
5;0.487;1;2
6;0.4788;0;0
7;0.491;0;-1
8;0.5278;0;1
9;0.5056;1;1
10;0.5332;1;0
11;0.5004;1;2
12;0.5042;0;0
13;0.4898;0;-1
14;0.494;0;1
15;0.493;0;1
16;0.4898;0;-1
17;0.496;0;1
18;0.5006;1;1
19;0.498;1;0
20;0.481;1;2
21;0.4966;1;2
22;0.56;1;0
23;0.4996;1;2
24;0.5376;0;0
25;0.4884;0;-1
26;0.497;0;1
27;0.4916;0;1
28;0.489;0;-1
29;0.4986;0;1
30;0.4856;1;1
31;0.5004;1;0
32;0.4982;1;2
33;0.4972;0;0
34;0.4886;0;-1
35;0.489;0;1
36;0.5082;0;1
37;0.4888;0;-1
38;0.4882;0;1
39;0.5;0;1
40;0.4878;0;-1
41;0.4978;0;1
42;0.4956;0;1
43;0.4872;0;-1
44;0.508;0;1
45;0.5676;1;1
46;0.5036;1;0
47;0.4956;1;2
48;0.4956;1;2
49;0.489;1;0
50;0.4636;1;2
51;0.5828;1;2
52;0.5142;1;0
53;0.501;1;2
54;0.4904;1;2
55;0.4942;1;0
56;0.502;1;2
57;0.5682;2;2
58;0.4958;2;1
59;0.5674;2;3
60;0.596;2;3
61;0.505;2;1
62;0.6396;2;3
63;0.647;3;3
64;0.4892;3;2
65;0.765;3;4
66;0.8958;4;4
67;0.8366;4;3
68;0.9052;4;5
69;0.7826;5;5
70;0.9168;5;4
71;0.7936;5;6
72;0.8906;4;4
73;0.8506;4;3
74;0.8764;4;5
75;0.8082;4;5
76;0.856;4;3
77;1;4;5
78;0.9406;5;5
79;1;5;4
80;0.933;5;6
81;0.9418;4;4
82;0.8484;4;3
83;0.7562;4;5
84;0.9338;4;5
85;0.9752;4;3
86;0.8372;4;5
87;0.7552;3;3
88;0.5084;3;2
89;0.8962;3;4
90;0.7886;4;4
91;0.734;4;3
92;0.9436;4;5
93;0.8666;5;5
94;0.9236;5;4
95;0.8094;5;6
96;0.9354;4;4
97;0.9166;4;3
98;0.788;4;5
99;0.8072;4;5
100;0.8334;4;3
101;0.9796;4;5
102;0.981;5;5
103;0.9686;5;4
104;0.8916;5;6
105;0.775;5;6
106;0.9548;5;4
107;0.7382;5;6
108;0.8894;4;4
109;0.6462;4;3
110;0.9702;4;5
111;0.9926;5;5
112;0.971;5;4
113;0.8572;5;6
114;0.7982;5;6
115;0.8958;5;4
116;0.9078;5;6
117;0.7872;6;6
118;0.963;6;5
119;0.814;6;7
120;0.864;5;5
121;1;5;4
122;0.799;5;6
123;0.9702;4;4
124;0.92;4;3
125;0.9168;4;5
126;0.9228;4;5
127;0.9118;4;3
128;0.9844;4;5
129;0.9758;5;5
130;0.9966;5;4
131;0.7108;5;6
132;0.9714;4;4
133;0.82;4;3
134;1;4;5
135;0.974;5;5
