epoch;accuracy;s;s_temp
294;0.7018;5;5
295;0.8918;5;4
296;0.7368;5;6
297;0.9456;4;4
298;0.787;4;3
299;0.8756;4;5
300;0.9338;4;5
301;0.789;4;3
302;0.983;4;5
303;0.9614;5;5
304;0.947;5;4
305;0.758;5;6
306;0.8734;5;6
307;0.9692;5;4
308;0.9362;5;6
309;0.9926;4;4
310;0.927;4;3
311;0.9636;4;5
312;0.8844;4;5
313;0.7672;4;3
314;0.9792;4;5
315;0.8762;5;5
316;0.9132;5;4
317;0.8394;5;6
318;0.8422;4;4
319;0.8352;4;3
320;0.8854;4;5
321;0.8504;5;5
322;0.9482;5;4
323;0.8124;5;6
324;0.9596;4;4
325;0.7636;4;3
326;0.9658;4;5
327;0.8958;5;5
328;0.9302;5;4
329;0.7448;5;6
330;0.7786;4;4
331;0.6458;4;3
332;0.811;4;5
333;0.8452;5;5
334;0.8648;5;4
335;0.8278;5;6
336;0.8694;4;4
337;0.7888;4;3
338;0.8294;4;5
339;0.9234;4;5
340;0.8676;4;3
341;0.7838;4;5
342;0.8322;4;5
343;0.983;4;3
344;0.8792;4;5
345;0.8706;3;3
346;0.5162;3;2
347;0.617;3;4
348;0.715;3;4
349;0.4934;3;2
350;0.9706;3;4
351;0.9366;4;4
352;0.9644;4;3
353;0.97;4;5
354;0.9704;5;5
355;0.9918;5;4
356;0.8686;5;6
357;0.9506;4;4
358;0.7222;4;3
359;0.9782;4;5
360;0.8172;5;5
361;0.9408;5;4
362;0.8334;5;6
363;1;4;4
364;0.8926;4;3
365;0.9942;4;5
366;0.9676;4;5
367;0.8802;4;3
368;1;4;5
369;0.9078;5;5
370;0.883;5;4
371;0.9744;5;6
372;0.7516;6;6
373;0.9836;6;5
374;0.8434;6;7
375;0.9578;5;5
376;0.989;5;4
377;0.9156;5;6
378;1;4;4
379;0.8072;4;3
380;0.9846;4;5
381;1;4;5
382;0.749;4;3
383;0.9096;4;5
384;0.8954;4;5
385;0.6668;4;3
386;0.7996;4;5
387;0.8462;4;5
388;0.7192;4;3
389;0.9202;4;5
390;0.814;5;5
391;0.9208;5;4
392;0.8378;5;6
393;0.9358;4;4
394;0.8368;4;3
395;1;4;5
396;0.9836;5;5
397;0.8192;5;4
398;0.796;5;6
399;0.9456;5;6
400;0.8018;5;4
401;0.811;5;6
402;0.7674;5;6
403;0.8156;5;4
404;0.8066;5;6
405;0.8218;4;4
406;0.772;4;3
407;0.9588;4;5
408;0.9312;5;5
409;0.943;5;4
410;0.8134;5;6
411;0.8286;4;4
412;0.9072;4;3
413;0.9842;4;5
414;0.8036;5;5
415;0.859;5;4
416;0.8336;5;6
417;0.8976;4;4
418;0.6386;4;3
419;0.8678;4;5
420;0.8916;4;5
421;0.8702;4;3
422;0.8816;4;5
423;0.9926;4;5
424;0.723;4;3
425;0.9386;4;5
426;0.9514;4;5
427;0.8858;4;3
428;1;4;5
429;0.9068;5;5
430;0.9778;5;4
431;0.7872;5;6
432;0.871;4;4
433;0.9624;4;3
434;0.9808;4;5
435;0.8712;5;5
436;0.9728;5;4
437;0.843;5;6
438;0.749;4;4
439;0.7026;4;3
440;0.9574;4;5
441;0.9486;5;5
442;0.8828;5;4
443;0.7392;5;6
444;0.766;5;6
445;0.9716;5;4
446;0.7592;5;6
447;0.877;4;4
448;0.7454;4;3
449;0.8644;4;5
450;0.8592;4;5
451;0.7654;4;3
452;0.8514;4;5
453;0.7986;4;5
454;0.7644;4;3
455;0.7328;4;5
456;0.891;4;5
457;0.6304;4;3
458;0.8562;4;5
459;0.9214;4;5
460;0.8962;4;3
461;0.9532;4;5
462;1;5;5
463;0.9948;5;4
464;0.8054;5;6
465;0.805;5;6
466;0.9918;5;4
467;0.8744;5;6
468;0.8642;4;4
469;0.6998;4;3
470;0.9878;4;5
471;0.9836;5;5
472;1;5;4
473;0.6148;5;6
474;0.9752;4;4
475;0.8448;4;3
476;0.8432;4;5
477;0.939;4;5
478;0.763;4;3
479;0.9648;4;5
480;0.8824;5;5
481;0.9922;5;4
482;0.8846;5;6
483;0.9276;4;4
484;0.8706;4;3
485;0.9916;4;5
486;0.919;5;5
487;1;5;4
488;0.8206;5;6
489;0.821;4;4
490;0.8472;4;3
491;0.964;4;5
492;0.9418;5;5
493;0.9;5;4
494;0.9372;5;6
495;0.9574;5;6
496;0.842;5;4
497;0.9162;5;6
498;0.8916;5;6
499;1;5;4
500;0.7888;5;6
501;0.855;4;4
502;0.8794;4;3
503;0.8482;4;5
504;0.7936;3;3
505;0.5454;3;2
506;0.7404;3;4
507;0.9736;3;4
508;0.501;3;2
509;0.776;3;4
510;0.788;3;4
511;0.5192;3;2
512;0.7386;3;4
513;0.7644;3;4
514;0.5178;3;2
515;0.7828;3;4
516;0.8416;4;4
517;0.7782;4;3
518;0.972;4;5
519;0.9006;5;5
520;0.898;5;4
521;0.7332;5;6
522;0.8566;5;6
523;0.8804;5;4
524;0.8252;5;6
525;0.8966;4;4
526;0.7816;4;3
