epoch;accuracy;s;s_temp
0;0.501;0.5;0.5
1;0.4942;0.5;0
2;0.5032;0.5;1
3;0.493;1;1
4;0.5086;1;0.5
5;0.462;1;1.5
6;0.4048;0.5;0.5
7;0.4992;0.5;0
8;0.5678;0.5;1
9;0.5528;1;1
10;0.5034;1;0.5
11;0.5026;1;1.5
12;0.5086;1;1.5
13;0.505;1;0.5
14;0.503;1;1.5
15;0.4974;1;1.5
16;0.4942;1;0.5
17;0.482;1;1.5
18;0.5804;1;1.5
19;0.4844;1;0.5
20;0.5184;1;1.5
21;0.501;1;1.5
22;0.5322;1;0.5
23;0.5292;1;1.5
24;0.4978;0.5;0.5
25;0.4994;0.5;0
26;0.4986;0.5;1
27;0.5026;0;0
28;0.4876;0;-0.5
29;0.5;0;0.5
30;0.489;0;0.5
31;0.489;0;-0.5
32;0.5076;0;0.5
33;0.494;0.5;0.5
34;0.4966;0.5;0
35;0.4424;0.5;1
36;0.4886;0;0
37;0.487;0;-0.5
38;0.56;0;0.5
39;0.5054;0.5;0.5
40;0.496;0.5;0
41;0.504;0.5;1
42;0.4906;0.5;1
43;0.5138;0.5;0
44;0.5008;0.5;1
45;0.5024;0;0
46;0.4902;0;-0.5
47;0.494;0;0.5
48;0.509;0;0.5
49;0.4886;0;-0.5
50;0.505;0;0.5
51;0.4942;0;0.5
52;0.488;0;-0.5
53;0.4954;0;0.5
54;0.4944;0.5;0.5
55;0.501;0.5;0
56;0.4978;0.5;1
57;0.4886;0;0
58;0.4898;0;-0.5
59;0.5266;0;0.5
60;0.4876;0.5;0.5
61;0.5066;0.5;0
62;0.464;0.5;1
63;0.5036;0;0
64;0.4892;0;-0.5
65;0.4944;0;0.5
66;0.4862;0;0.5
67;0.491;0;-0.5
68;0.502;0;0.5
69;0.5148;0.5;0.5
70;0.4886;0.5;0
71;0.505;0.5;1
72;0.4952;0.5;1
73;0.4906;0.5;0
74;0.5032;0.5;1
75;0.4968;1;1
76;0.4886;1;0.5
77;0.4928;1;1.5
78;0.4922;1;1.5
79;0.4886;1;0.5
80;0.5034;1;1.5
81;0.5032;1.5;1.5
82;0.491;1.5;1
83;0.477;1.5;2
84;0.4742;1.5;2
85;0.4886;1.5;1
86;0.4962;1.5;2
87;0.533;2;2
88;0.4752;2;1.5
89;0.5298;2;2.5
90;0.5742;2;2.5
91;0.5288;2;1.5
92;0.4824;2;2.5
93;0.5214;2;2.5
94;0.4838;2;1.5
95;0.5018;2;2.5
96;0.4914;2;2.5
97;0.4904;2;1.5
98;0.5266;2;2.5
99;0.6366;2.5;2.5
100;0.4888;2.5;2
101;0.7068;2.5;3
102;0.6764;3;3
103;0.6422;3;2.5
104;0.9218;3;3.5
105;0.9604;3.5;3.5
106;0.8658;3.5;3
107;0.9322;3.5;4
108;0.9248;3.5;4
109;0.8044;3.5;3
110;0.9842;3.5;4
111;0.8654;4;4
112;0.9816;4;3.5
113;0.9806;4;4.5
114;0.9542;3.5;3.5
115;0.9322;3.5;3
116;0.9792;3.5;4
117;0.9854;4;4
118;0.9822;4;3.5
119;0.996;4;4.5
120;0.9936;4.5;4.5
121;1;4.5;4
122;1;4.5;5
123;0.9682;5;5
124;0.8834;5;4.5
125;0.9394;5;5.5
126;0.782;5;5.5
127;0.9388;5;4.5
128;1;5;5.5
129;0.8092;5.5;5.5
130;0.877;5.5;5
131;0.8696;5.5;6
132;0.9744;5;5
133;0.9536;5;4.5
134;0.9818;5;5.5
135;0.8152;5.5;5.5
136;0.9606;5.5;5
137;0.9628;5.5;6
138;0.829;6;6
139;0.8698;6;5.5
140;0.819;6;6.5
141;0.7608;5.5;5.5
142;0.8702;5.5;5
143;0.7632;5.5;6
144;0.9202;5;5
145;0.9684;5;4.5
146;0.8388;5;5.5
147;0.8942;4.5;4.5
148;0.9782;4.5;4
149;0.91;4.5;5
150;0.9776;4;4
151;1;4;3.5
152;1;4;4.5
153;0.9964;4.5;4.5
154;0.9964;4.5;4
155;0.929;4.5;5
156;0.9076;4.5;5
157;1;4.5;4
158;1;4.5;5
159;0.9614;5;5
160;0.9664;5;4.5
161;0.8012;5;5.5
162;1;4.5;4.5
163;0.9886;4.5;4
164;0.9764;4.5;5
165;0.9932;4.5;5
166;0.908;4.5;4
167;0.9836;4.5;5
168;0.9718;4.5;5
169;0.9484;4.5;4
170;0.9456;4.5;5
171;0.921;4.5;5
172;0.8778;4.5;4
173;0.8822;4.5;5
174;0.9218;4.5;5
175;0.8782;4.5;4
176;0.915;4.5;5
177;0.9104;4.5;5
178;0.8156;4.5;4
179;0.8356;4.5;5
180;0.9688;4.5;5
181;0.955;4.5;4
182;0.8878;4.5;5
183;0.9924;4.5;5
184;0.8762;4.5;4
185;0.9914;4.5;5
186;0.807;4.5;5
187;0.9782;4.5;4
188;0.9248;4.5;5
189;0.9518;4;4
190;0.9714;4;3.5
