epoch;accuracy;s;s_temp
0;0.636;15;15
1;0.6072;15;14.5
2;0.6026;15;15.5
3;0.6298;15;15.5
4;0.6504;15;14.5
5;0.7104;15;15.5
6;0.6536;15.5;15.5
7;0.5844;15.5;15
8;0.5348;15.5;16
9;0.6818;15.5;16
10;0.606;15.5;15
11;0.5856;15.5;16
12;0.6148;15.5;16
13;0.6634;15.5;15
14;0.6272;15.5;16
15;0.66;15;15
16;0.6542;15;14.5
17;0.6612;15;15.5
18;0.5976;15.5;15.5
19;0.6476;15.5;15
20;0.6564;15.5;16
21;0.655;16;16
22;0.564;16;15.5
23;0.672;16;16.5
24;0.5914;16.5;16.5
25;0.6476;16.5;16
26;0.667;16.5;17
27;0.6596;17;17
28;0.679;17;16.5
29;0.667;17;17.5
30;0.6314;16.5;16.5
31;0.5974;16.5;16
32;0.616;16.5;17
33;0.6586;16.5;17
34;0.5972;16.5;16
35;0.6222;16.5;17
36;0.6852;16.5;17
37;0.6086;16.5;16
38;0.6376;16.5;17
39;0.628;16.5;17
40;0.6664;16.5;16
41;0.6136;16.5;17
42;0.6676;16;16
43;0.6744;16;15.5
44;0.6846;16;16.5
45;0.6744;16.5;16.5
46;0.6926;16.5;16
47;0.6744;16.5;17
48;0.6872;16;16
49;0.6484;16;15.5
50;0.6906;16;16.5
51;0.694;16.5;16.5
52;0.7412;16.5;16
53;0.6748;16.5;17
54;0.6508;16;16
55;0.6454;16;15.5
56;0.6744;16;16.5
57;0.633;16.5;16.5
58;0.5932;16.5;16
59;0.6242;16.5;17
60;0.6572;16.5;17
61;0.666;16.5;16
62;0.6646;16.5;17
63;0.6744;16;16
64;0.5868;16;15.5
65;0.6512;16;16.5
66;0.6744;16;16.5
67;0.6754;16;15.5
68;0.6856;16;16.5
69;0.6126;16.5;16.5
70;0.68;16.5;16
71;0.6772;16.5;17
72;0.619;16;16
73;0.6758;16;15.5
74;0.7286;16;16.5
75;0.6986;16.5;16.5
76;0.6752;16.5;16
77;0.6264;16.5;17
78;0.6922;16.5;17
79;0.71;16.5;16
80;0.6784;16.5;17
81;0.6322;16;16
82;0.695;16;15.5
83;0.7038;16;16.5
84;0.8564;16.5;16.5
85;0.6112;16.5;16
86;0.7332;16.5;17
87;0.6732;16.5;17
88;0.6456;16.5;16
89;0.6742;16.5;17
90;0.682;17;17
91;0.6772;17;16.5
92;0.6732;17;17.5
93;0.6834;17;17.5
94;0.7314;17;16.5
95;0.694;17;17.5
96;0.6988;16.5;16.5
97;0.73;16.5;16
98;0.679;16.5;17
99;0.6388;16;16
100;0.7;16;15.5
101;0.6606;16;16.5
102;0.7022;15.5;15.5
103;0.7064;15.5;15
104;0.677;15.5;16
105;0.6908;15;15
106;0.7268;15;14.5
107;0.7268;15;15.5
108;0.74;15.5;15.5
109;0.6052;15.5;15
110;0.7384;15.5;16
111;0.7348;15.5;16
112;0.6574;15.5;15
113;0.7268;15.5;16
114;0.6406;15.5;16
115;0.6702;15.5;15
116;0.7416;15.5;16
117;0.7268;16;16
118;0.7406;16;15.5
119;0.7268;16;16.5
120;0.7268;15.5;15.5
121;0.7192;15.5;15
122;0.747;15.5;16
123;0.7264;16;16
124;0.6862;16;15.5
125;0.667;16;16.5
126;0.7238;16;16.5
127;0.7076;16;15.5
128;0.7222;16;16.5
129;0.664;16;16.5
130;0.7148;16;15.5
131;0.7268;16;16.5
132;0.7018;16.5;16.5
133;0.7464;16.5;16
134;0.633;16.5;17
135;0.6348;16;16
136;0.7296;16;15.5
137;0.728;16;16.5
138;0.6576;15.5;15.5
139;0.6734;15.5;15
140;0.7384;15.5;16
141;0.654;16;16
142;0.7256;16;15.5
143;0.716;16;16.5
144;0.6348;15.5;15.5
145;0.6204;15.5;15
146;0.7204;15.5;16
147;0.7384;16;16
148;0.6398;16;15.5
149;0.7356;16;16.5
150;0.7176;16;16.5
151;0.7356;16;15.5
152;0.6916;16;16.5
153;0.7356;15.5;15.5
154;0.6932;15.5;15
155;0.6784;15.5;16
156;0.7356;15.5;16
157;0.7126;15.5;15
158;0.8102;15.5;16
159;0.7048;16;16
160;0.7552;16;15.5
161;0.673;16;16.5
162;0.6766;15.5;15.5
163;0.6692;15.5;15
164;0.6734;15.5;16
165;0.6774;15.5;16
166;0.631;15.5;15
167;0.669;15.5;16
168;0.6892;15.5;16
169;0.691;15.5;15
170;0.6334;15.5;16
171;0.6934;15;15
172;0.715;15;14.5
173;0.6966;15;15.5
174;0.6786;14.5;14.5
175;0.6572;14.5;14
176;0.643;14.5;15
177;0.6966;14.5;15
178;0.6622;14.5;14
179;0.644;14.5;15
180;0.7014;14.5;15
181;0.7298;14.5;14
182;0.6824;14.5;15
183;0.6956;14;14
184;0.7256;14;13.5
185;0.724;14;14.5
186;0.7054;13.5;13.5
187;0.7282;13.5;13
188;0.7396;13.5;14
189;0.7382;14;14
190;0.7178;14;13.5
191;0.6762;14;14.5
192;0.7382;14;14.5
193;0.7382;14;13.5
194;0.7174;14;14.5
195;0.7382;14;14.5
196;0.7382;14;13.5
197;0.657;14;14.5
198;0.63;14;14.5
199;0.6964;14;13.5
200;0.6592;14;14.5
201;0.7554;13.5;13.5
202;0.6688;13.5;13
203;0.7318;13.5;14
204;0.7154;13.5;14
205;0.7308;13.5;13
206;0.6056;13.5;14
207;0.7342;13;13
208;0.7642;13;12.5
209;0.7492;13;13.5
210;0.7556;12.5;12.5
211;0.7342;12.5;12
212;0.7356;12.5;13
213;0.7062;12.5;13
214;0.7266;12.5;12
215;0.7488;12.5;13
216;0.7246;13;13
217;0.5884;13;12.5
218;0.6786;13;13.5
219;0.6472;13;13.5
220;0.7076;13;12.5
221;0.7008;13;13.5
222;0.6882;12.5;12.5
223;0.7428;12.5;12
224;0.7224;12.5;13
225;0.709;12;12
226;0.7494;12;11.5
227;0.7158;12;12.5
228;0.7356;11.5;11.5
229;0.7688;11.5;11
230;0.6378;11.5;12
231;0.687;11;11
232;0.8458;11;10.5
233;0.7514;11;11.5
234;0.7836;10.5;10.5
235;0.7598;10.5;10
236;0.6884;10.5;11
237;0.7362;10.5;11
238;0.921;10.5;10
239;0.8716;10.5;11
240;0.781;10;10
241;0.8728;10;9.5
242;0.785;10;10.5
243;0.8072;9.5;9.5
244;0.8394;9.5;9
245;0.8858;9.5;10
246;0.6098;10;10
247;0.8682;10;9.5
248;0.7362;10;10.5
249;0.7752;9.5;9.5
250;0.795;9.5;9
251;0.6386;9.5;10
252;0.8194;9;9
253;0.8;9;8.5
254;0.8466;9;9.5
255;0.8828;9.5;9.5
256;0.905;9.5;9
257;0.8864;9.5;10
258;0.8636;9;9
259;0.7392;9;8.5
260;0.8952;9;9.5
261;0.8828;9.5;9.5
262;0.875;9.5;9
263;0.791;9.5;10
264;0.829;9.5;10
265;0.763;9.5;9
266;0.7902;9.5;10
267;0.8214;9.5;10
268;0.8464;9.5;9
269;0.777;9.5;10
270;0.8764;9;9
271;0.8092;9;8.5
272;0.8894;9;9.5
273;0.8574;9.5;9.5
274;0.7004;9.5;9
275;0.792;9.5;10
276;0.8038;9.5;10
277;0.9066;9.5;9
278;0.705;9.5;10
279;0.8524;9;9
