epoch;accuracy;s;s_temp;time
0;0.7608;3.9;3.9;2.15579
1;0.887;3.9;3.9;2.6291
2;0.8142;3.9;3.9;2.47515
3;0.803;3.9;3.9;2.28445
4;0.8466;3.9;3.9;2.61661
5;0.8466;3.9;3.9;2.91121
6;0.8466;3.9;3.9;2.63345
7;0.8338;3.9;3.9;2.10849
8;0.7972;3.9;3.9;2.12182
9;0.8326;3.9;3.9;3.10992
10;0.8508;3.9;3.9;2.23953
11;1;3.9;3.9;3.12535
12;1;3.9;3.9;2.21018
13;1;3.9;3.9;3.16336
14;1;3.9;3.9;2.5093
15;1;3.9;3.9;2.15445
16;1;3.9;3.9;2.45529
17;1;3.9;3.9;3.07958
18;1;3.9;3.9;3.00224
19;1;3.9;3.9;2.41721
20;1;3.9;3.9;2.52938
21;1;3.9;3.9;2.42268
22;1;3.9;3.9;2.51149
23;1;3.9;3.9;2.62577
24;1;3.9;3.9;2.5853
25;1;3.9;3.9;3.08533
26;1;3.9;3.9;2.46059
27;1;3.9;3.9;2.69714
28;1;3.9;3.9;2.56869
29;1;3.9;3.9;2.62948
30;1;3.9;3.9;2.33969
31;1;3.9;3.9;2.4675
32;1;3.9;3.9;2.08485
33;1;3.9;3.9;2.16154
34;1;3.9;3.9;2.15095
35;1;3.9;3.9;2.45989
36;1;3.9;3.9;2.4119
37;1;3.9;3.9;2.71632
38;1;3.9;3.9;2.62437
39;1;3.9;3.9;2.08773
40;1;3.9;3.9;2.17726
41;1;3.9;3.9;2.89404
42;1;3.9;3.9;3.08124
43;1;3.9;3.9;2.06464
44;1;3.9;3.9;3.13127
45;1;3.9;3.9;2.49408
46;1;3.9;3.9;2.52898
47;1;3.9;3.9;2.64134
48;1;3.9;3.9;2.1627
49;1;3.9;3.9;3.12871
50;1;3.9;3.9;2.15728
51;1;3.9;3.9;2.53998
52;1;3.9;3.9;2.10543
53;1;3.9;3.9;2.11998
54;1;3.9;3.9;2.10118
55;1;3.9;3.9;2.15712
56;1;3.9;3.9;2.0867
57;1;3.9;3.9;2.60057
58;1;3.9;3.9;2.09078
59;1;3.9;3.9;2.0972
60;1;3.9;3.9;2.17464
61;1;3.9;3.9;2.20665
62;1;3.9;3.9;2.13307
63;1;3.9;3.9;2.09955
64;1;3.9;3.9;2.0541
65;1;3.9;3.9;2.12386
66;1;3.9;3.9;2.13539
67;1;3.9;3.9;2.70287
68;1;3.9;3.9;2.13753
69;1;3.9;3.9;2.1242
70;1;3.9;3.9;2.05539
71;1;3.9;3.9;2.0698
72;1;3.9;3.9;2.06133
73;1;3.9;3.9;2.11386
74;1;3.9;3.9;2.17983
75;1;3.9;3.9;2.05165
76;1;3.9;3.9;2.11684
77;1;3.9;3.9;2.02769
78;1;3.9;3.9;2.13356
79;1;3.9;3.9;2.15437
80;1;3.9;3.9;2.15358
81;1;3.9;3.9;2.077
82;1;3.9;3.9;2.0927
83;1;3.9;3.9;2.10897
84;1;3.9;3.9;2.10064
85;1;3.9;3.9;2.06434
86;1;3.9;3.9;2.12918
87;1;3.9;3.9;2.44375
88;1;3.9;3.9;2.03609
89;1;3.9;3.9;2.10853
90;1;3.9;3.9;2.13203
91;1;3.9;3.9;2.10455
92;1;3.9;3.9;2.02413
93;1;3.9;3.9;2.02381
94;1;3.9;3.9;2.10774
95;1;3.9;3.9;2.02518
96;1;3.9;3.9;2.10312
97;1;3.9;3.9;2.13723
98;1;3.9;3.9;2.15971
99;1;3.9;3.9;2.09671
