epoch;accuracy;s;s_temp;time
1;4.66123e-310;3.9;3.9;13.1531
2;3.45994e-314;3.9;3.9;12.754
3;2.122e-314;3.9;3.9;12.8057
4;3.39519e-312;3.9;3.9;12.4198
5;4.66123e-310;3.9;3.9;12.4291
6;4.42442e-314;3.9;3.9;12.2301
7;2.122e-314;3.9;3.9;12.6631
8;4.07423e-312;3.9;3.9;12.5113
9;7.41098e-323;3.9;3.9;12.674
10;6.40888e-314;3.9;3.9;12.6544
11;2.122e-314;3.9;3.9;12.5236
12;4.07423e-312;3.9;3.9;12.3638
13;7.90505e-323;3.9;3.9;12.383
14;9.87884e-314;3.9;3.9;12.39
15;2.122e-314;3.9;3.9;12.3441
16;4.75327e-312;3.9;3.9;12.2494
17;4.66123e-310;3.9;3.9;12.3159
18;1.15741e-313;3.9;3.9;12.2608
19;2.122e-314;3.9;3.9;12.1918
20;4.75327e-312;3.9;3.9;12.5939
21;4.66123e-310;3.9;3.9;12.3766
22;1.39059e-313;3.9;3.9;12.5252
23;2.122e-314;3.9;3.9;12.7416
24;0;3.9;3.9;12.1916
25;0;3.9;3.9;12.5825
26;1.4854e-313;3.9;3.9;12.5513
27;2.122e-314;3.9;3.9;12.3412
28;0;3.9;3.9;12.5084
29;0;3.9;3.9;12.4003
30;1.6976e-313;3.9;3.9;12.1831
31;2.122e-314;3.9;3.9;12.7493
32;0;3.9;3.9;12.5287
33;0;3.9;3.9;12.0561
34;1.9098e-313;3.9;3.9;12.3352
35;2.122e-314;3.9;3.9;12.3702
36;0;3.9;3.9;12.0652
37;0;3.9;3.9;11.9326
38;2.122e-313;3.9;3.9;11.851
39;2.122e-314;3.9;3.9;12.1383
40;0;3.9;3.9;12.0697
41;0;3.9;3.9;12.1657
42;2.3342e-313;3.9;3.9;12.0966
43;2.122e-314;3.9;3.9;12.2217
44;0;3.9;3.9;12.2368
45;0;3.9;3.9;12.2002
46;2.54639e-313;3.9;3.9;12.2965
47;2.122e-314;3.9;3.9;12.5225
48;0;3.9;3.9;12.3277
49;0;3.9;3.9;12.303
50;2.75859e-313;3.9;3.9;12.0277
51;2.122e-314;3.9;3.9;12.2766
52;0;3.9;3.9;12.034
53;0;3.9;3.9;12.4675
54;2.97079e-313;3.9;3.9;12.3611
55;2.122e-314;3.9;3.9;12.3556
56;0;3.9;3.9;12.2532
57;0;3.9;3.9;12.2147
58;3.18299e-313;3.9;3.9;12.5203
59;2.122e-314;3.9;3.9;12.4469
60;0;3.9;3.9;12.3184
61;0;3.9;3.9;12.3801
62;3.39519e-313;3.9;3.9;12.2049
63;2.122e-314;3.9;3.9;12.1272
64;0;3.9;3.9;11.872
65;0;3.9;3.9;12.0706
66;3.60739e-313;3.9;3.9;11.8189
67;2.122e-314;3.9;3.9;12.5699
68;0;3.9;3.9;12.1464
69;0;3.9;3.9;12.404
70;3.81959e-313;3.9;3.9;12.1203
71;2.122e-314;3.9;3.9;12.2426
72;0;3.9;3.9;12.0365
73;0;3.9;3.9;12.1033
74;4.03179e-313;3.9;3.9;12.4723
75;2.122e-314;3.9;3.9;12.1063
76;0;3.9;3.9;11.9459
77;0;3.9;3.9;12.0485
78;4.24399e-313;3.9;3.9;12.1253
79;2.122e-314;3.9;3.9;12.9406
80;0;3.9;3.9;12.0283
81;0;3.9;3.9;12.0868
82;4.45619e-313;3.9;3.9;12.5677
83;2.122e-314;3.9;3.9;12.6737
84;0;3.9;3.9;12.4008
85;0;3.9;3.9;12.7923
86;4.66839e-313;3.9;3.9;12.4978
87;2.122e-314;3.9;3.9;12.4885
88;0;3.9;3.9;12.9711
89;0;3.9;3.9;12.2647
90;4.88059e-313;3.9;3.9;12.7043
91;2.122e-314;3.9;3.9;12.6696
92;0;3.9;3.9;12.591
93;0;3.9;3.9;12.562
94;5.09279e-313;3.9;3.9;12.5601
95;2.122e-314;3.9;3.9;12.3515
96;0;3.9;3.9;12.6398
97;0;3.9;3.9;12.7167
98;-nan;3.9;3.9;12.2158
99;2.122e-314;3.9;3.9;12.3226
100;0;3.9;3.9;12.5393
