epoch;accuracy;s;s_temp;time
1;4.67254e-310;3;3;3.90698
2;3.45994e-314;3;3;3.70526
3;2.122e-314;3;3;2.71874
4;3.39519e-312;3;3;3.03023
5;4.67254e-310;3;3;2.93169
6;4.42442e-314;3;3;3.39581
7;2.122e-314;3;3;3.70847
8;4.07423e-312;3;3;2.75804
9;7.41098e-323;3;3;2.98406
10;6.40888e-314;3;3;3.34528
11;2.122e-314;3;3;2.28633
12;4.07423e-312;3;3;2.27024
13;7.90505e-323;3;3;3.34178
14;9.87884e-314;3;3;2.26617
15;2.122e-314;3;3;3.32587
16;4.75327e-312;3;3;2.66336
17;4.67254e-310;3;3;2.9806
18;1.15741e-313;3;3;3.79265
19;2.122e-314;3;3;2.95538
20;4.75327e-312;3;3;3.24955
21;4.67254e-310;3;3;3.3742
22;1.39059e-313;3;3;3.01439
23;2.122e-314;3;3;2.63803
24;0;3;3;2.58217
25;0;3;3;3.37564
26;1.4854e-313;3;3;3.84282
27;2.122e-314;3;3;3.19221
28;0;3;3;3.34025
29;0;3;3;2.99923
30;1.6976e-313;3;3;3.03265
31;2.122e-314;3;3;3.36124
32;0;3;3;3.80742
33;0;3;3;3.00274
34;1.9098e-313;3;3;3.47139
35;2.122e-314;3;3;4.96592
36;0;3;3;3.3393
37;0;3;3;3.43612
38;2.122e-313;3;3;4.81837
39;2.122e-314;3;3;3.78552
40;0;3;3;2.98441
41;0;3;3;2.79192
42;2.3342e-313;3;3;2.90206
43;2.122e-314;3;3;3.33926
44;0;3;3;2.25924
45;0;3;3;2.91831
46;2.54639e-313;3;3;3.39172
47;2.122e-314;3;3;2.92898
48;0;3;3;3.34456
49;0;3;3;3.80486
50;2.75859e-313;3;3;3.3423
51;2.122e-314;3;3;3.73195
52;0;3;3;3.55155
53;0;3;3;3.35269
54;2.97079e-313;3;3;3.06425
55;2.122e-314;3;3;3.32188
56;0;3;3;3.43271
57;0;3;3;2.99711
58;3.18299e-313;3;3;3.385
59;2.122e-314;3;3;3.66699
60;0;3;3;2.66941
61;0;3;3;2.63842
62;3.39519e-313;3;3;2.85234
63;2.122e-314;3;3;3.29304
64;0;3;3;3.32832
65;0;3;3;2.88859
66;3.60739e-313;3;3;2.98335
67;2.122e-314;3;3;3.3475
68;0;3;3;3.83476
69;0;3;3;3.31818
70;3.81959e-313;3;3;2.99299
71;2.122e-314;3;3;5.00724
72;0;3;3;3.68959
73;0;3;3;4.56213
74;4.03179e-313;3;3;3.15148
75;2.122e-314;3;3;2.99265
76;0;3;3;2.88796
77;0;3;3;2.99468
78;4.24399e-313;3;3;4.20936
79;2.122e-314;3;3;3.36086
80;0;3;3;2.96703
81;0;3;3;3.74696
82;4.45619e-313;3;3;3.70026
83;2.122e-314;3;3;2.93281
84;0;3;3;2.92185
85;0;3;3;3.09592
86;4.66839e-313;3;3;3.36653
87;2.122e-314;3;3;3.31259
88;0;3;3;4.64691
89;0;3;3;2.88643
90;4.88059e-313;3;3;2.92027
91;2.122e-314;3;3;3.3563
92;0;3;3;3.18778
93;0;3;3;3.69138
94;5.09279e-313;3;3;3.64064
95;2.122e-314;3;3;2.9758
96;0;3;3;3.30586
97;0;3;3;3.36701
98;-nan;3;3;2.34488
99;2.122e-314;3;3;3.74197
100;0;3;3;3.34504
