epoch;accuracy;s;s_temp;time
1;4.6757e-310;3;3;3.08807
2;3.45994e-314;3;3;3.55672
3;2.122e-314;3;3;1.91068
4;3.39519e-312;3;3;1.62547
5;4.6757e-310;3;3;1.954
6;4.42442e-314;3;3;1.87399
7;2.122e-314;3;3;1.99212
8;4.07423e-312;3;3;1.91751
9;7.41098e-323;3;3;1.93132
10;6.40888e-314;3;3;1.91504
11;2.122e-314;3;3;1.59724
12;4.07423e-312;3;3;2.3949
13;7.90505e-323;3;3;1.88573
14;9.87884e-314;3;3;1.57954
15;2.122e-314;3;3;2.01892
16;4.75327e-312;3;3;1.61118
17;4.6757e-310;3;3;1.59238
18;1.15741e-313;3;3;3.60773
19;2.122e-314;3;3;2.76134
20;4.75327e-312;3;3;3.25013
21;4.6757e-310;3;3;1.96621
22;1.39059e-313;3;3;3.23655
23;2.122e-314;3;3;1.93257
24;0;3;3;1.92426
25;0;3;3;1.90265
26;1.4854e-313;3;3;3.64804
27;2.122e-314;3;3;1.89512
28;0;3;3;1.8872
29;0;3;3;1.88572
30;1.6976e-313;3;3;1.92726
31;2.122e-314;3;3;1.88995
32;0;3;3;1.99495
33;0;3;3;3.20365
34;1.9098e-313;3;3;1.92557
35;2.122e-314;3;3;1.91864
36;0;3;3;1.92379
37;0;3;3;3.20378
38;2.122e-313;3;3;3.15845
39;2.122e-314;3;3;1.97783
40;0;3;3;3.1532
41;0;3;3;1.56434
42;2.3342e-313;3;3;3.12337
43;2.122e-314;3;3;3.18815
44;0;3;3;1.88262
45;0;3;3;2.73201
46;2.54639e-313;3;3;3.2251
47;2.122e-314;3;3;2.03972
48;0;3;3;1.97788
49;0;3;3;2.01116
50;2.75859e-313;3;3;3.602
51;2.122e-314;3;3;1.99307
52;0;3;3;3.52361
53;0;3;3;1.88544
54;2.97079e-313;3;3;2.88682
55;2.122e-314;3;3;1.97536
56;0;3;3;3.20856
57;0;3;3;1.90849
58;3.18299e-313;3;3;2.01539
59;2.122e-314;3;3;1.951
60;0;3;3;2.849
61;0;3;3;3.15881
62;3.39519e-313;3;3;2.69682
63;2.122e-314;3;3;3.14003
64;0;3;3;3.5148
65;0;3;3;2.75964
66;3.60739e-313;3;3;3.19288
67;2.122e-314;3;3;1.90064
68;0;3;3;2.02859
69;0;3;3;3.23331
70;3.81959e-313;3;3;3.17944
71;2.122e-314;3;3;1.92864
72;0;3;3;2.00468
73;0;3;3;1.9192
74;4.03179e-313;3;3;2.8177
75;2.122e-314;3;3;3.18284
76;0;3;3;1.89987
77;0;3;3;2.02455
78;4.24399e-313;3;3;1.87764
79;2.122e-314;3;3;1.91416
80;0;3;3;1.94258
81;0;3;3;3.61679
82;4.45619e-313;3;3;1.95993
83;2.122e-314;3;3;1.92123
84;0;3;3;3.55219
85;0;3;3;2.84468
86;4.66839e-313;3;3;1.95883
87;2.122e-314;3;3;3.1631
88;0;3;3;3.23116
89;0;3;3;3.10595
90;4.88059e-313;3;3;3.51624
91;2.122e-314;3;3;1.87966
92;0;3;3;1.92729
93;0;3;3;3.57986
94;5.09279e-313;3;3;3.14132
95;2.122e-314;3;3;1.93194
96;0;3;3;3.13632
97;0;3;3;1.93809
98;-nan;3;3;1.90562
99;2.122e-314;3;3;1.97559
100;0;3;3;3.15269
