epoch;accuracy;s;s_temp;time
1;4.66825e-310;3.9;3.9;28.7454
2;3.45994e-314;3.9;3.9;29.0283
3;2.122e-314;3.9;3.9;29.5519
4;3.39519e-312;3.9;3.9;29.4512
5;4.66825e-310;3.9;3.9;29.9592
6;4.42442e-314;3.9;3.9;28.8198
7;2.122e-314;3.9;3.9;28.6441
8;4.07423e-312;3.9;3.9;29.9862
9;7.41098e-323;3.9;3.9;31.212
10;6.40888e-314;3.9;3.9;32.1506
11;2.122e-314;3.9;3.9;28.4815
12;4.07423e-312;3.9;3.9;29.5478
13;7.90505e-323;3.9;3.9;30.1833
14;9.87884e-314;3.9;3.9;29.8483
15;2.122e-314;3.9;3.9;29.1059
16;4.75327e-312;3.9;3.9;29.0096
17;4.66825e-310;3.9;3.9;29.7535
18;1.15741e-313;3.9;3.9;30.3049
19;2.122e-314;3.9;3.9;29.1298
20;4.75327e-312;3.9;3.9;28.7393
21;4.66825e-310;3.9;3.9;30.1607
22;1.39059e-313;3.9;3.9;29.2496
23;2.122e-314;3.9;3.9;29.4575
24;0;3.9;3.9;32.4553
25;0;3.9;3.9;29.2281
26;1.4854e-313;3.9;3.9;29.3642
27;2.122e-314;3.9;3.9;32.1044
28;0;3.9;3.9;26.9171
29;0;3.9;3.9;26.8654
30;1.6976e-313;3.9;3.9;29.8249
31;2.122e-314;3.9;3.9;27.5936
32;0;3.9;3.9;29.8116
33;0;3.9;3.9;26.7286
34;1.9098e-313;3.9;3.9;29.3317
35;2.122e-314;3.9;3.9;26.4355
36;0;3.9;3.9;29.8668
37;0;3.9;3.9;26.4257
38;2.122e-313;3.9;3.9;29.4151
39;2.122e-314;3.9;3.9;28.1018
40;0;3.9;3.9;29.4595
41;0;3.9;3.9;29.2228
42;2.3342e-313;3.9;3.9;29.3414
43;2.122e-314;3.9;3.9;29.8833
44;0;3.9;3.9;29.7156
45;0;3.9;3.9;29.3882
46;2.54639e-313;3.9;3.9;29.6261
47;2.122e-314;3.9;3.9;29.3881
48;0;3.9;3.9;29.6271
49;0;3.9;3.9;29.9879
50;2.75859e-313;3.9;3.9;28.1357
51;2.122e-314;3.9;3.9;29.0085
52;0;3.9;3.9;30.0936
53;0;3.9;3.9;29.6282
54;2.97079e-313;3.9;3.9;29.9091
55;2.122e-314;3.9;3.9;28.9685
56;0;3.9;3.9;29.584
57;0;3.9;3.9;29.2278
58;3.18299e-313;3.9;3.9;28.5592
59;2.122e-314;3.9;3.9;29.6651
60;0;3.9;3.9;28.4989
61;0;3.9;3.9;29.5148
62;3.39519e-313;3.9;3.9;31.6605
63;2.122e-314;3.9;3.9;29.2797
64;0;3.9;3.9;28.7726
65;0;3.9;3.9;27.951
66;3.60739e-313;3.9;3.9;28.9179
67;2.122e-314;3.9;3.9;29.375
68;0;3.9;3.9;29.2614
69;0;3.9;3.9;28.3456
70;3.81959e-313;3.9;3.9;29.1639
71;2.122e-314;3.9;3.9;29.8839
72;0;3.9;3.9;28.3657
73;0;3.9;3.9;29.4986
74;4.03179e-313;3.9;3.9;30.0158
75;2.122e-314;3.9;3.9;30.4237
76;0;3.9;3.9;29.6932
77;0;3.9;3.9;30.35
78;4.24399e-313;3.9;3.9;29.7013
79;2.122e-314;3.9;3.9;31.0808
80;0;3.9;3.9;29.9401
81;0;3.9;3.9;30.629
82;4.45619e-313;3.9;3.9;29.874
83;2.122e-314;3.9;3.9;30.0145
84;0;3.9;3.9;29.9431
85;0;3.9;3.9;29.8026
86;4.66839e-313;3.9;3.9;31.5545
87;2.122e-314;3.9;3.9;29.266
88;0;3.9;3.9;30.2566
89;0;3.9;3.9;29.8807
90;4.88059e-313;3.9;3.9;29.523
91;2.122e-314;3.9;3.9;29.627
92;0;3.9;3.9;28.6259
93;0;3.9;3.9;30.2185
94;5.09279e-313;3.9;3.9;32.0652
95;2.122e-314;3.9;3.9;31.6179
96;0;3.9;3.9;28.9308
97;0;3.9;3.9;30.5425
98;-nan;3.9;3.9;28.8638
99;2.122e-314;3.9;3.9;29.1156
100;0;3.9;3.9;26.9999
